date,temperature,network,turbine,exchanged,T1,T2,T3,T4,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
2019-07-10 10:00:00,31.21133,2875.4434,6180.4614,0.0,0.0,873.64075,776.20087,145.20831,81.51703,76.101,103.86428,56.112083,147.7293,20.590694,138.83267,229.165,133.61182,408.54477,386.31137,57.754784
2019-07-10 11:00:00,30.658342,2606.0403,6017.8174,0.0,0.0,915.2125,812.3078,143.1102,52.42007,76.37749,101.2945,71.82346,147.84314,20.216616,194.00142,232.98712,164.35149,430.14386,386.49026,60.926334
2019-07-10 12:00:00,29.812593,2946.6326,6017.8174,0.0,0.0,960.55756,850.54535,147.59918,80.60623,74.89743,107.18221,81.4845,147.95699,18.704027,235.36174,225.71695,164.28642,436.29178,394.63873,57.6572
2019-07-10 13:00:00,29.3084,2772.5874,5855.174,0.0,0.0,863.0364,766.5886,156.56085,46.87392,75.8733,115.18428,68.45674,147.79436,20.769604,133.72566,234.80873,164.4328,432.6323,393.80923,42.71024
2019-07-10 14:00:00,29.27587,2992.4329,5855.174,0.0,0.0,878.89417,780.7712,148.72142,76.39375,74.66973,108.548416,69.82295,147.69676,21.76173,113.46026,232.6293,161.24498,436.79596,389.88953,50.273174
2019-07-10 15:00:00,29.633684,2777.597,5855.174,0.0,0.0,886.68475,787.30945,144.24872,63.902718,74.55588,104.4498,54.924786,147.7293,21.810522,135.49847,231.70226,154.0724,431.44498,389.67807,61.80461
2019-07-10 16:00:00,30.365582,3227.2742,5855.174,0.0,0.0,841.92523,749.96643,151.66527,60.763695,76.5564,109.6056,53.900127,147.7293,16.345694,160.85464,227.14822,154.0724,433.5106,387.17337,24.168856
2019-07-10 17:00:00,31.829374,3251.004,5855.174,0.0,0.0,909.6663,807.54236,138.24716,77.841286,74.31191,98.67594,61.365475,147.95699,12.751267,175.60643,223.60258,154.0724,434.14487,391.15814,60.584785
2019-07-10 18:00:00,28.690351,2292.935,6017.8174,0.0,0.0,887.85583,787.76483,136.1816,46.597424,73.580025,97.71635,71.595764,147.82687,12.588623,153.94228,221.4394,154.0724,427.36264,390.10098,64.74847
2019-07-10 19:00:00,34.44794,2742.2056,5855.174,0.0,0.0,912.04095,808.76215,149.56717,49.24852,73.35232,110.370026,60.357086,147.8594,12.360923,202.44264,225.66817,154.0724,433.4943,389.40158,63.235878
2019-07-10 20:00:00,38.66041,2458.2297,6017.8174,0.0,0.0,846.772,753.31696,190.6347,53.16823,75.10887,149.89246,27.324144,148.00578,12.263336,154.0724,231.83235,154.0724,430.40408,376.48767,49.73645
